Name,MarketSymbol,Owner
Pop Mart,SEHK:9992,Elaine
New Oriental,SEHK:9901,Elaine
Giant Biogene,SEHK:2367,Elaine
Mixue,SEHK:2097,Eric
MGP,SEHK:1318,Elaine
Anta,SEHK:2020,Eric
Laopu,SEHK:6181,Elaine
Haitian,SEHK:3288,Eric
Botanee,SZSE:300957,Elaine
CTGDF,SHSE:601888,Elaine
IMEiK,SZSE:300896,Elaine
Proya,SHSE:603605,Elaine
Seres,SHSE:601127,Eric
Yili,SHSE:600887,Eric
Haidilao,SEHK:6862,Eric
Li Ning,SEHK:2331,Leslie
Shenzhou Intl,SEHK:2313,Leslie
Super Hi,SEHK:9658,Eric
Yihai,SZSE:300999,Eric
YUMC,SEHK:9987,Eric
Moutai,SHSE:600519,Eric
Guming,SEHK:1364,Leslie
Nong Fu Spring,SEHK:9633,Eric
Alibaba,SEHK:9988,Eric
Tencent,SEHK:700,Eric
JD,SEHK:9618,Eric
Meituan-Dianping,SEHK:3690,Elaine
Bilibili,SEHK:9626,Eric
Trip.com,SEHK:9961,Eric
Shunfeng,SZSE:002352,Leslie
East Buy,SEHK:1797,Elaine
Huazhu,SEHK:1179,Leslie
Kuaishou,SEHK:1024,Leslie
New Horizon,SEHK:9901,Elaine
Weimob,SEHK:2013,Eric
Tencent Music Entertainment,SEHK:1698,Elaine
Meitu,SEHK:1357,Elaine
Newborn Town Inc.,SEHK:9911,Elaine
KE Holdings,SEHK:2423,Eric
Kanzhun Limited,SEHK:2076,Eric
Xiaomi,SEHK:1810,Elaine
BYD,SEHK:1211,Leslie
BYD,SEHK:1211,Eric
UBTech,SEHK:9880,Eric
Horizon Robotics,SEHK:9660,Elaine
Sunny Optical,SEHK:2382,Elaine
CATL(H),SEHK:3750,Eric
Accelink,SZSE:002281,Eric
Anker,SZSE:300866,Elaine
CATL(A),SZSE:300750,Eric
China Mobile,SEHK:941,Elaine
Desay SV,SZSE:002920,Leslie
Envicool,SZSE:002837,Eric
Etern,SHSE:600105,Eric
Everbright,SHSE:688041,Eric
